GeneSym	NA	GeneID
LRP5	na	4041
LRP6	na	4040
LRPAP1	na	4043
LRPPRC	na	10128
LRRC6	na	23639
LRRK2	na	120892
LRSAM1	na	90678
LRTOMT	na	220074
LTBP3	na	4054
LTBP4	na	8425
LYRM7	na	90624
LYST	na	1130
ABCA1	na	19
APOA1	na	335
B2M	na	567
LYZ	na	4069
FGA	na	2243
FGB	na	2244
FGG	na	2266
LZTFL1	na	54585
LZTR1	na	8216
MAFB	na	9935
MAGEL2	na	54551
MAGT1	na	84061
MALT1	na	10892
MAMLD1	na	10046
MAN2B1	na	4125
MANBA	na	4126
MAOA	na	4128
MARS	na	4141
MASP1	na	5648
MASP2	na	10747
MASTL	na	84930
MAT1A	na	4143
MATN3	na	4148
MATR3	na	9782
MBTPS2	na	51360
MC2R	na	4158
LEPR	na	3953
MC4R	na	4160
MCCC1	na	56922
MCCC2	na	64087
MCEE	na	84693
MCFD2	na	90411
MCM6	na	4175
MCOLN1	na	57192
MCPH1	na	79648
MECP2	na	4204
MED12	na	9968
MED13L	na	23389
MED17	na	9440
MED23	na	9439
MEF2C	na	4208
MEFV	na	4210
MEGF10	na	84466
MEGF8	na	1954
MEN1	na	4221
MEOX1	na	4222
MESP2	na	145873
MET	na	4233
METTL23	na	124512
MFAP5	na	8076
MFN2	na	9927
MFSD8	na	256471
MGME1	na	92667
MGP	na	4256
MIB1	na	57534
MID1	na	4281
MINPP1	na	9562
MIP	na	4284
AIP	na	9049
MIR6752	na	102465450
MITF	na	4286
BBS1	na	582
BBS5	na	129880
BBS7	na	55212
BBS10	na	79738
BBS12	na	166379
BBS2	na	583
BBS4	na	585
MKKS	na	8195
MKS1	na	54903
MLC1	na	23209
MLH3	na	27030
MLPH	na	79083
MLYCD	na	23417
MMAA	na	166785
MMAB	na	326625
MMACHC	na	25974
MMADHC	na	27249
MMP13	na	4322
MMP14	na	4323
MMP2	na	4313
MMP20	na	9313
MNX1	na	3110
MOCS1	na	4337
MOCS2	na	4338
MOG	na	4340
MOGS	na	7841
MPC1	na	51660
MPDU1	na	9526
MPDZ	na	8777
MPI	na	4351
MPL	na	4352
MPO	na	4353
MPV17	na	4358
MPZ	na	4359
MRAP	na	56246
MBL2	na	4153
MRPL3	na	11222
MRPL44	na	65080
MRPS22	na	56945
MSMB	na	4477
MSRB3	na	253827
MSX1	na	4487
MSX2	na	4488
MTFMT	na	123263
MTHFR	na	4524
MTM1	na	4534
MTMR2	na	8898
MTO1	na	25821
MTPAP	na	55149
MTR	na	4548
MTRR	na	4552
MTTP	na	4547
MUT	na	4594
AR	na	367
MSR1	na	4481
MXI1	na	4601
MYBPC1	na	4604
MYC	na	4609
MYCN	na	4613
MYD88	na	4615
MYF6	na	4618
MYH14	na	79784
MYH3	na	4621
MYH9	na	4627
DST	na	667
MYLK	na	4638
MYO15A	na	51168
MYO1A	na	4640
MYO1E	na	4643
MYO3A	na	53904
MYO5B	na	4645
MYO6	na	4646
MYOC	na	4653
MYOM1	na	8736
NAA10	na	8260
NADK2	na	133686
NAGA	na	4668
NAGLU	na	4669
NAGS	na	162417
NALCN	na	259232
NANOS1	na	340719
NAT8L	na	339983
NBAS	na	51594
NBEAL2	na	23218
NCF1	na	653361
NCF2	na	4688
NCF4	na	4689
NCSTN	na	23385
NDE1	na	54820
NDP	na	4693
NDRG1	na	10397
NDST1	na	3340
NEB	na	4703
NECAP1	na	25977
NEFL	na	4747
DYNC2H1	na	79659
NEK1	na	4750
NEK2	na	4751
NEK8	na	284086
NEU1	na	4758
NEXN	na	91624
NF2	na	4771
NFIX	na	4784
NFKBIA	na	4792
NFU1	na	27247
NGF	na	4803
NGLY1	na	55768
NHEJ1	na	79840
NHLRC1	na	378884
NHS	na	4810
NIN	na	51199
NIPA1	na	123606
